order_id,user_id,amount,quantity,created_at,status
A0229,0701,129.31,7,2025-06-22T01:26:00Z,refund
A3729,0077,,6,2025-10-07T19:57:00Z,refunded
A1518,0594,16.55,8,2025-07-23T17:24:00Z,Paid
A2889,0290,385.23,1,,paid
A1419,0140,271.75,4,2025-04-01T20:15:00Z,Refunded
A3030,0807,,8,,Refunded
A3054,0807,496.42,1,2025-04-14T14:22:00Z,
A3150,0014,223.01,8,2025-08-08T21:46:00Z,Refunded
A0050,0857,377.82,2,2025-08-25T06:24:00Z,refund
A3218,0266,281.69,5,2025-09-28T09:27:00Z,Paid
A2093,0810,306.18,4,2025-11-22T14:07:00Z,Refunded
A4505,0385,,1,2025-08-28T19:57:00Z,refund
A4266,0479,342.8,6,2025-04-11T07:51:00Z,paid
A4342,0029,450.45,2,2025-02-27T07:53:00Z,PAID
A3143,0259,497.58,9,2025-05-30T00:04:00Z,Paid
A4704,0198,295.46,4,2025-05-08T07:50:00Z,Paid
A1485,0239,25.66,2,2025-06-22T23:27:00Z,paid
A1898,0143,469.1,1,2025-06-07T02:28:00Z,refunded
A2579,0461,400.96,,2025-03-08T02:37:00Z,Pending
A0031,0467,271.31,5,2025-10-27T10:14:00Z,refunded
A4526,0365,355.56,3,2025-10-15T00:40:00Z,refund
A0282,0818,320.77,2,2025-03-08T04:45:00Z,refund
A1862,0035,262.7,8,2025-05-25T07:30:00Z,refund
A4312,0010,454.06,4,2025-11-11T03:32:00Z,paid
A3668,0622,277.44,9,,Pending
A3076,0556,450.66,5,2025-03-18T08:10:00Z,refund
A2996,0731,497.07,7,2025-08-28T00:08:00Z,refunded
A0537,0184,385.04,4,2025-08-22T09:03:00Z,refund
A1050,0749,55.04,4,2025-11-27T13:00:00Z,Paid
A0095,0743,51.72,1,2025-11-16T00:04:00Z,refunded
A0152,0655,149.32,4,2025-06-18T22:00:00Z,Pending
A0142,0962,189.44,9,2025-07-29T20:10:00Z,paid
A2187,0155,52.78,7,2025-03-29T04:40:00Z,paid
A0495,0993,78.06,,2025-08-19T18:43:00Z,
A0094,0188,,8,2025-10-10T17:16:00Z,refund
A3428,0879,278.02,4,2025-08-21T20:52:00Z,refund
A3462,0119,242.18,4,2025-07-08T01:07:00Z,
A4501,0550,176.1,8,2025-03-12T04:25:00Z,refund
A1004,0955,194.67,9,2025-04-20T19:23:00Z,PAID
A2363,0629,374.2,2,2025-10-31T12:00:00Z,paid
A0177,0799,,3,2025-10-16T04:21:00Z,refunded
A2417,0655,172.4,6,2025-03-04T09:22:00Z,Refunded
A0502,0492,157.93,7,2025-07-10T21:41:00Z,
A0076,0219,237.37,8,2025-05-10T11:04:00Z,refunded
A3554,0692,379.47,,2025-09-19T17:02:00Z,refunded
A1456,0614,323.6,1,2025-09-25T16:05:00Z,paid
A3719,0824,465.57,3,2025-03-22T10:47:00Z,Refunded
A0942,0642,207.63,4,2025-03-18T06:41:00Z,Paid
A1249,0259,496.35,3,2025-09-24T21:35:00Z,paid
A3515,0950,158.42,1,2025-04-23T17:26:00Z,refunded
A1009,0297,408.52,3,2025-12-19T07:26:00Z,Pending
A1118,0751,,9,2025-05-12T11:58:00Z,refund
A0214,0702,250.96,9,2025-04-25T05:54:00Z,refunded
A2081,0670,486.05,3,2025-04-09T21:53:00Z,PAID
A1611,0768,262.41,2,2025-10-30T19:23:00Z,Pending
A4718,0780,306.53,2,2025-08-04T20:33:00Z,paid
A2089,0087,347.95,9,2025-06-18T20:13:00Z,refund
A1650,0544,194.91,8,2025-05-04T09:33:00Z,refunded
A0307,0073,130.59,6,2025-03-22T15:41:00Z,Refunded
A0008,0659,82.27,8,2025-02-02T14:00:00Z,refund
A1337,0880,220.45,6,2025-09-24T10:31:00Z,Paid
A4856,0468,292.82,1,2025-07-07T08:38:00Z,refunded
A4463,0901,399.0,3,2025-04-29T08:01:00Z,paid
A2286,0036,462.27,5,2025-01-01T21:53:00Z,Pending
A0114,0109,328.54,7,2025-04-15T00:15:00Z,
A0729,0388,237.31,1,2025-02-24T00:55:00Z,PAID
A1173,0035,18.67,5,2025-07-08T15:00:00Z,Paid
A4175,0202,352.21,6,2025-10-15T01:56:00Z,Paid
A2923,0311,176.59,5,2025-09-20T00:22:00Z,Refunded
A0049,0936,457.28,5,2025-06-14T04:51:00Z,refund
A4057,0643,242.87,6,2025-07-22T16:36:00Z,Refunded
A1983,0454,123.06,1,2025-03-16T09:15:00Z,
A0356,0672,262.01,6,2025-09-25T12:07:00Z,refunded
A2578,0218,365.72,3,2025-11-27T05:38:00Z,paid
A4209,0060,,6,2025-04-27T23:19:00Z,Paid
A0330,0789,107.73,6,2025-08-18T17:06:00Z,PAID
A1595,0677,442.03,6,2025-12-22T11:51:00Z,Paid
A3939,0688,82.84,,2025-08-17T11:47:00Z,PAID
A2122,0251,10.66,7,2025-09-25T06:08:00Z,
A0919,0969,315.74,2,2025-12-20T12:21:00Z,Pending
A0296,0839,210.78,4,2025-05-23T21:09:00Z,refund
A4621,0868,,4,2025-01-21T20:31:00Z,refunded
A3496,0367,456.92,8,2025-04-24T07:34:00Z,Refunded
A4402,0841,181.44,,2025-01-02T17:14:00Z,Refunded
A1597,0458,67.96,1,2025-09-08T02:37:00Z,paid
A2897,0388,193.83,6,2025-06-10T13:56:00Z,refund
A3351,0304,309.13,8,,PAID
A2354,0718,499.9,7,2025-01-03T00:13:00Z,refund
A3852,0469,,1,2025-05-20T15:16:00Z,refunded
A3875,0145,211.39,8,2025-05-20T21:54:00Z,Refunded
A1776,0208,285.82,7,2025-06-02T10:50:00Z,Pending
A2129,0553,,1,2025-03-17T23:11:00Z,refunded
A2580,0033,296.41,7,2025-08-31T06:00:00Z,PAID
A0318,0965,131.34,5,2025-09-19T22:52:00Z,Paid
A0754,0301,378.84,3,2025-04-18T16:36:00Z,paid
A2752,0810,132.65,6,2025-08-09T14:14:00Z,Paid
A2494,0488,343.88,1,2025-03-30T11:05:00Z,paid
A0651,0763,122.11,4,2025-03-25T12:36:00Z,refund
A0520,0726,314.85,9,2025-02-19T21:43:00Z,Paid
A1638,0846,467.92,,2025-06-06T08:10:00Z,Refunded
A3595,0524,470.66,1,2025-03-30T01:51:00Z,Refunded
A3948,0342,126.71,2,2025-05-10T08:33:00Z,refund
A0617,0339,104.11,7,2025-01-17T05:27:00Z,paid
A0845,0345,24.99,,2025-04-28T16:07:00Z,
A4387,0997,17.66,5,2025-04-04T02:52:00Z,refund
A0224,0659,437.95,,2025-10-12T11:23:00Z,refunded
A1095,0758,317.36,1,2025-10-14T20:14:00Z,Paid
A0355,0511,123.3,4,2025-06-20T12:40:00Z,paid
A2769,0237,245.68,3,2025-11-05T22:51:00Z,PAID
A0952,0231,191.59,7,2025-07-20T18:47:00Z,Refunded
A2699,0585,,3,2025-02-21T01:45:00Z,PAID
A0649,0669,279.45,2,2025-06-07T13:35:00Z,paid
A4724,0151,478.04,5,2025-12-04T02:58:00Z,refund
A4659,0835,229.73,8,2025-10-12T09:26:00Z,Pending
A0644,0721,348.98,5,2025-01-12T05:25:00Z,
A2168,0129,315.86,2,2025-11-30T19:00:00Z,Pending
A1954,0238,338.68,1,2025-11-03T13:29:00Z,paid
A4472,0921,414.81,3,2025-07-31T20:57:00Z,PAID
A1323,0097,306.98,3,2025-12-22T07:06:00Z,paid
A0971,0502,,5,2025-09-20T10:09:00Z,Pending
A0169,0751,335.64,5,2025-04-17T11:57:00Z,refund
A4793,0349,325.12,6,2025-02-21T21:17:00Z,
A2588,0320,443.47,3,2025-09-16T15:57:00Z,Paid
A1431,0209,144.42,8,2025-11-04T09:32:00Z,Paid
A1298,0065,160.29,9,2025-10-22T10:00:00Z,paid
A4067,0633,274.64,2,2025-11-06T08:04:00Z,refunded
A4232,0275,25.87,4,2025-05-19T05:12:00Z,PAID
A4230,0412,,3,2025-08-09T07:45:00Z,refund
A4568,0709,86.64,4,2025-11-16T01:21:00Z,Refunded
A2324,0498,376.69,2,2025-10-23T01:06:00Z,PAID
A1248,0960,,5,2025-08-27T14:45:00Z,Paid
A1599,0913,106.17,7,2025-06-24T22:20:00Z,refunded
A1348,0400,156.59,7,,Pending
A0873,0657,17.23,3,,Paid
A4647,0081,194.75,6,2025-01-28T01:35:00Z,Pending
A0305,0843,46.49,5,2025-08-24T18:55:00Z,refunded
A0202,0948,141.98,,2025-02-09T13:24:00Z,refunded
A4688,0565,424.84,9,2025-12-03T08:31:00Z,PAID
A3156,0702,248.45,6,2025-06-23T02:11:00Z,refund
A4041,0808,335.31,2,2025-01-30T00:32:00Z,Pending
A0878,0220,73.98,1,,paid
A2918,0969,183.99,3,2025-11-23T03:51:00Z,PAID
A1666,0931,81.24,,2025-05-11T09:54:00Z,PAID
A0018,0230,128.8,7,2025-09-13T01:05:00Z,refunded
A0027,0362,,4,2025-04-21T12:51:00Z,refunded
A1207,0995,100.84,2,2025-01-16T11:49:00Z,Paid
A0808,0347,81.9,2,2025-01-07T09:23:00Z,PAID
A0250,0516,117.84,,2025-05-29T11:18:00Z,refunded
A2138,0312,433.59,7,2025-08-29T04:59:00Z,
A2033,0679,244.31,8,2025-12-14T12:02:00Z,Pending
A2061,0166,472.29,1,2025-08-20T17:28:00Z,Paid
A4022,0786,235.42,7,2025-04-06T17:05:00Z,refunded
A1221,0192,469.25,7,,paid
A0314,0765,105.45,2,,paid
A0202,0948,141.98,2,2025-02-09T08:24:00Z,refunded
A3532,0285,307.68,6,2025-03-21T23:09:00Z,paid
A2072,0484,415.29,1,2025-06-05T23:07:00Z,paid
A2305,0492,180.33,6,2025-01-19T07:03:00Z,PAID
A0232,0428,143.5,9,2025-04-01T16:50:00Z,
A1908,0760,,,2025-09-29T00:33:00Z,Paid
A2891,0793,195.64,4,2025-09-29T15:12:00Z,refund
A2426,0497,191.85,3,2025-06-27T18:22:00Z,paid
A2708,0472,57.89,4,2025-11-22T00:45:00Z,PAID
A2836,0579,196.41,9,2025-04-12T08:23:00Z,Pending
A0870,0290,139.8,4,2025-04-08T14:18:00Z,PAID
A0990,0618,318.46,6,2025-03-25T04:44:00Z,Pending
A2583,0230,349.56,5,2025-10-14T16:53:00Z,Refunded
A3316,0906,173.78,3,2025-06-01T09:18:00Z,paid
A2075,0931,242.47,5,2025-05-05T16:50:00Z,refunded
A1534,0884,268.51,1,2025-06-11T18:31:00Z,PAID
A2721,0033,10.7,5,2025-03-02T02:12:00Z,Paid
A2566,0904,,7,2025-01-01T07:12:00Z,refund
A0524,0335,256.49,8,2025-07-29T08:49:00Z,
A3300,0734,205.86,8,2025-10-05T10:03:00Z,PAID
A0218,0327,223.68,,2025-03-31T08:53:00Z,refunded
A2095,0198,430.68,7,2025-09-28T01:50:00Z,
A2511,0368,239.74,1,2025-03-24T10:24:00Z,Refunded
A1609,0530,182.26,7,2025-08-29T14:15:00Z,PAID
A2391,0098,342.82,9,2025-03-08T14:41:00Z,Paid
A0222,0946,199.99,6,2025-09-29T07:46:00Z,refunded
A1880,0974,,8,2025-03-22T18:53:00Z,refund
A0143,0695,51.64,3,2025-01-29T08:55:00Z,refunded
A4070,0304,325.8,7,2025-03-16T02:54:00Z,Pending
A2790,0909,21.91,5,2025-07-16T20:07:00Z,Refunded
A0501,0699,264.0,,2025-06-16T11:13:00Z,Paid
A3896,0384,488.87,3,2025-10-09T16:29:00Z,refunded
A3172,0395,,,2025-05-19T10:14:00Z,refunded
A0510,0188,416.85,1,2025-06-12T07:48:00Z,paid
A1826,0021,97.08,9,,refund
A2440,0609,179.8,4,2025-11-22T01:11:00Z,Pending
A2431,0889,304.13,5,2025-04-03T03:32:00Z,
A0633,0742,403.44,1,2025-02-18T16:14:00Z,
A1570,0969,,8,2025-03-15T16:48:00Z,Refunded
A2029,0137,372.28,,2025-04-21T11:00:00Z,
A0620,0922,246.39,1,2025-06-27T15:43:00Z,refunded
A1089,0132,39.61,8,2025-10-26T22:52:00Z,Refunded
A1999,0341,205.41,2,2025-08-26T12:09:00Z,Pending
A2934,0209,222.75,3,2025-07-18T16:15:00Z,PAID
A2617,0191,424.62,3,2025-11-11T03:06:00Z,Refunded
A4023,0721,459.86,8,2025-02-01T18:37:00Z,PAID
A1645,0197,159.61,7,2025-11-25T08:10:00Z,paid
A4864,0866,,2,2025-11-23T02:23:00Z,PAID
A3452,0464,116.67,1,2025-03-03T18:25:00Z,refund
A3412,0841,,,2025-05-20T18:28:00Z,Refunded
A4074,0646,13.14,,2025-06-20T12:28:00Z,Paid
A0859,0601,90.52,3,2025-01-22T21:07:00Z,PAID
A0233,0122,69.47,3,2025-01-15T11:29:00Z,Paid
A3312,0421,157.56,8,2025-11-02T19:43:00Z,
A0890,0489,,8,2025-01-10T21:16:00Z,PAID
A4157,0451,253.35,3,,
A0046,0580,214.51,7,,refunded
A3282,0535,145.57,7,2025-10-08T19:06:00Z,PAID
A2276,0029,444.91,8,2025-06-02T00:04:00Z,Paid
A4063,0318,,5,2025-11-14T03:52:00Z,PAID
A2835,0832,399.07,6,2025-08-20T18:45:00Z,Refunded
A3320,0911,141.36,,2025-07-08T11:30:00Z,Pending
A4015,0815,26.82,6,2025-07-11T16:38:00Z,Pending
A1607,0594,305.9,9,2025-08-22T01:03:00Z,refunded
A3173,0253,195.36,1,2025-11-17T22:12:00Z,Refunded
A1069,0878,35.85,6,2025-05-13T02:47:00Z,PAID
A1498,0665,220.32,6,2025-12-22T03:12:00Z,refunded
A2132,0943,,5,2025-05-11T18:14:00Z,refunded
A4679,0218,498.1,7,,PAID
A0921,0572,,3,2025-10-26T20:48:00Z,paid
A4697,0340,80.27,3,2025-12-09T06:37:00Z,Pending
A4576,0916,196.45,3,2025-12-20T14:02:00Z,PAID
A0055,0328,333.25,1,,refund
A4566,0725,149.65,8,2025-03-01T00:20:00Z,Refunded
A0793,0291,,9,2025-04-08T08:42:00Z,Refunded
A3710,0839,185.6,4,2025-04-26T06:59:00Z,
A4055,0011,200.66,5,2025-02-07T22:55:00Z,Paid
A2913,0239,354.3,1,2025-12-20T02:34:00Z,refunded
A2372,0985,230.95,9,2025-09-11T09:21:00Z,PAID
A1721,0795,210.1,6,2025-12-14T13:11:00Z,Paid
A0812,0382,235.23,5,2025-04-16T12:18:00Z,Pending
A3642,0234,402.55,5,2025-06-11T05:36:00Z,paid
A3910,0848,,8,2025-02-05T00:41:00Z,refunded
A3518,0064,194.26,,2025-05-10T00:29:00Z,refunded
A1752,0302,47.21,1,,Pending
A0193,0960,294.5,1,2025-09-26T21:23:00Z,refunded
A4037,0576,,8,2025-12-15T00:10:00Z,refund
A2473,0564,169.3,8,2025-12-05T01:36:00Z,refund
A1533,0226,279.33,7,2025-05-10T13:11:00Z,PAID
A0533,0076,352.04,9,2025-11-16T19:23:00Z,PAID
A0099,0905,307.74,7,,refunded
A2077,0714,251.11,2,2025-06-30T11:10:00Z,refunded
A3318,0644,301.97,2,2025-05-31T18:28:00Z,paid
A4540,0338,49.13,2,2025-03-09T16:06:00Z,PAID
A1663,0055,182.59,4,2025-03-06T18:19:00Z,paid
A4668,0276,174.36,2,,Refunded
A3677,0322,101.82,7,2025-07-23T04:27:00Z,refund
A4174,0282,71.34,3,2025-12-14T12:29:00Z,
A3018,0613,457.75,9,2025-05-16T17:05:00Z,Paid
A3924,0524,19.32,3,2025-01-29T01:21:00Z,refunded
A3228,0187,216.91,7,,Refunded
A4353,0071,152.03,6,2025-05-28T10:31:00Z,refund
A2103,0836,67.89,7,2025-01-15T20:51:00Z,Refunded
A2762,0252,464.77,7,2025-01-13T10:08:00Z,Refunded
A4814,0415,,2,2025-12-13T17:01:00Z,paid
A4311,0203,348.65,9,2025-01-25T10:05:00Z,refunded
A2035,0004,223.91,7,2025-08-04T00:25:00Z,refunded
A4485,0840,215.92,9,2025-04-17T13:52:00Z,PAID
A3120,0149,,3,2025-09-16T23:34:00Z,Paid
A0743,0459,,9,2025-11-11T14:00:00Z,refund
A2434,0929,55.6,,2025-07-18T09:56:00Z,Refunded
A3889,0451,,7,2025-09-14T13:11:00Z,refund
A1643,0684,325.0,5,2025-05-07T19:00:00Z,Refunded
A2094,0657,228.8,6,2025-05-08T18:17:00Z,Paid
A4525,0458,448.74,9,,Pending
A4665,0455,113.35,9,2025-06-17T05:04:00Z,paid
A1917,0935,,2,2025-03-26T17:23:00Z,paid
A3449,0353,462.04,6,2025-12-12T22:37:00Z,Paid
A1429,0620,232.78,3,2025-01-15T03:35:00Z,paid
A1405,0822,395.45,2,2025-09-03T16:04:00Z,Pending
A3057,0835,273.41,6,2025-02-03T17:18:00Z,Paid
A0744,0008,431.83,2,2025-12-20T14:22:00Z,Pending
A1241,0890,196.5,8,2025-08-20T20:12:00Z,Refunded
A1359,0042,78.38,6,2025-03-24T06:35:00Z,Paid
A4978,0039,422.3,2,2025-04-13T18:45:00Z,
A3741,0191,458.07,1,2025-09-26T13:42:00Z,
A0931,0503,229.32,7,2025-09-11T18:54:00Z,Pending
A4661,0041,91.01,9,2025-11-16T08:00:00Z,Refunded
A3509,0247,123.03,,2025-04-29T21:18:00Z,PAID
A3905,0591,490.45,3,2025-02-23T23:42:00Z,
A3375,0083,105.67,9,,refund
A1808,0755,323.11,4,2025-06-11T02:37:00Z,Refunded
A0545,0469,193.05,4,,refund
A0310,0131,49.3,4,2025-06-23T04:32:00Z,PAID
A3507,0276,,6,2025-11-10T21:04:00Z,
A4789,0157,144.08,9,2025-03-03T18:34:00Z,Paid
A4839,0805,78.93,6,2025-01-16T10:24:00Z,refund
A1665,0718,455.26,8,2025-10-24T10:04:00Z,PAID
A0150,0779,422.46,8,2025-12-16T21:48:00Z,
A0225,0517,105.28,,2025-02-18T02:43:00Z,Pending
A4122,0447,115.08,6,2025-12-04T09:37:00Z,refund
A4634,0886,103.3,6,2025-01-31T01:34:00Z,Refunded
A1102,0758,149.73,4,,Pending
A3972,0137,222.7,8,2025-09-30T15:36:00Z,Pending
A2795,0495,,9,2025-08-16T15:42:00Z,Pending
A2990,0081,227.11,9,2025-08-13T17:24:00Z,
A1477,0376,,8,2025-07-05T05:07:00Z,refund
A0189,0705,10.68,1,2025-05-25T18:01:00Z,Refunded
A0098,0327,347.83,8,2025-02-07T06:30:00Z,refunded
A4885,0682,408.51,3,2025-02-21T20:31:00Z,refunded
A0900,0144,,9,2025-05-14T13:07:00Z,refunded
A1998,0515,224.18,4,2025-07-17T18:16:00Z,Paid
A3011,0523,88.0,8,2025-07-31T22:04:00Z,Paid
A0004,0246,156.6,7,2025-12-16T14:07:00Z,refunded
A3425,0751,196.63,3,2025-10-04T00:19:00Z,Pending
A2813,0346,249.59,3,2025-03-21T17:09:00Z,
A1253,0117,276.01,8,2025-01-29T04:00:00Z,PAID
A3081,0085,,9,,refunded
A0415,0732,113.37,9,2025-06-21T11:12:00Z,refunded
A3058,0467,449.87,5,2025-06-12T20:09:00Z,refund
A4439,0776,,4,2025-11-21T04:15:00Z,refunded
A2205,0232,138.42,2,2025-10-26T23:37:00Z,Pending
A4354,0217,144.5,8,2025-03-09T05:00:00Z,Refunded
A3084,0381,,8,2025-03-04T20:17:00Z,Refunded
A0197,0361,137.0,6,2025-03-09T11:52:00Z,refunded
A2538,0943,365.87,,2025-09-26T20:22:00Z,refund
A2799,0216,178.68,1,2025-09-30T23:18:00Z,refunded
A3617,0476,382.29,6,2025-03-20T13:20:00Z,
A2991,0121,251.3,7,2025-06-06T18:25:00Z,Refunded
A2940,0060,449.13,3,2025-09-10T11:29:00Z,PAID
A0815,0534,499.36,6,2025-12-05T11:15:00Z,Refunded
A0736,0531,56.78,9,2025-10-29T20:27:00Z,Pending
A0544,0617,112.28,3,2025-08-25T18:08:00Z,Refunded
A3482,0591,179.01,3,2025-10-12T13:46:00Z,Pending
A3706,0900,90.54,9,,
A3423,0189,272.55,9,2025-08-19T20:17:00Z,paid
A2378,0050,242.31,6,2025-08-13T10:44:00Z,Refunded
A3696,0770,266.55,7,,refunded
A2649,0953,35.83,2,2025-06-03T21:50:00Z,PAID
A3674,0600,204.13,4,2025-04-22T03:50:00Z,
A0154,0107,,3,2025-01-04T16:10:00Z,refund
A4331,0338,167.98,9,2025-11-16T20:56:00Z,
A0057,0509,184.81,5,2025-10-02T03:01:00Z,
A0486,0617,478.54,5,2025-12-16T19:38:00Z,Paid
A3888,0331,277.33,5,,Pending
A3195,0057,194.52,7,2025-11-01T21:25:00Z,Paid
A0720,0654,396.58,7,2025-10-21T14:20:00Z,
A3254,0316,355.32,7,2025-02-02T01:33:00Z,paid
A3036,0078,347.29,4,2025-11-10T09:26:00Z,PAID
A0299,0022,491.8,6,2025-06-17T06:04:00Z,refund
A1467,0130,325.96,4,2025-08-01T21:33:00Z,Refunded
A4188,0474,193.9,,2025-01-22T23:14:00Z,refunded
A2030,0599,330.92,6,2025-10-21T21:11:00Z,PAID
A2862,0259,66.92,3,2025-03-16T07:54:00Z,
A2288,0182,349.81,6,2025-08-23T23:24:00Z,
A1790,0315,136.09,3,,Paid
A1028,0004,34.14,8,2025-11-13T03:24:00Z,refund
A0123,0597,356.14,9,2025-06-30T02:34:00Z,Refunded
A2965,0176,,9,2025-12-06T09:42:00Z,Pending
A0747,0035,260.12,3,2025-04-19T15:38:00Z,Refunded
A3097,0770,49.17,7,2025-08-19T14:21:00Z,Pending
A3111,0308,497.8,1,2025-12-10T15:46:00Z,paid
A4520,0751,228.74,5,,refund
A1689,0369,142.46,6,2025-12-03T00:40:00Z,Paid
A2834,0574,205.35,3,2025-12-10T12:27:00Z,Pending
A3526,0808,224.05,3,2025-10-18T17:35:00Z,Paid
A2672,0404,444.18,6,2025-01-08T06:20:00Z,Pending
A3052,0699,208.95,2,2025-08-12T21:28:00Z,Pending
A1507,0386,463.24,,,
A4890,0720,463.76,3,,Refunded
A3767,0850,357.11,7,2025-09-02T01:49:00Z,Pending
A4666,0790,347.53,8,2025-04-18T05:04:00Z,
A0882,0858,451.48,4,2025-04-15T11:08:00Z,Paid
A3594,0965,134.91,8,2025-03-05T07:35:00Z,refunded
A1245,0482,306.98,2,2025-12-08T05:36:00Z,Refunded
A0645,0552,409.84,2,2025-04-09T15:02:00Z,refunded
A3475,0625,37.81,4,2025-07-07T19:29:00Z,Refunded
A4165,0680,304.03,1,2025-11-01T03:12:00Z,Paid
A0996,0142,,2,2025-07-24T00:38:00Z,Refunded
A2224,0462,7.3,3,2025-08-07T06:32:00Z,Refunded
A3880,0968,365.59,,2025-09-19T03:05:00Z,Pending
A3166,0995,,3,2025-01-28T20:56:00Z,Refunded
A1630,0516,378.0,1,2025-02-17T01:40:00Z,refunded
A0455,0500,71.36,6,2025-10-13T03:06:00Z,Refunded
A4314,0759,257.8,5,2025-02-15T10:35:00Z,PAID
A0012,0408,37.64,1,2025-02-13T10:49:00Z,
A1058,0159,346.25,9,2025-02-05T23:38:00Z,refunded
A2328,0900,31.94,8,2025-05-08T00:59:00Z,Pending
A2184,0429,126.33,7,2025-10-13T11:35:00Z,
A2977,0244,86.34,7,2025-05-03T01:38:00Z,refund
A1114,0430,222.3,7,2025-05-23T20:57:00Z,PAID
A3705,0240,484.88,,2025-03-11T10:25:00Z,PAID
A0961,0728,143.5,5,2025-03-02T21:37:00Z,refunded
A2303,0577,276.15,4,2025-07-08T20:23:00Z,
A1780,0391,77.17,9,2025-04-21T23:29:00Z,refunded
A3546,0036,190.75,,2025-08-02T23:14:00Z,PAID
A4977,0599,251.26,6,2025-08-02T07:02:00Z,Paid
A0832,0864,320.38,9,,refunded
A4552,0218,285.39,5,2025-09-02T11:37:00Z,refunded
A0294,0710,204.24,5,2025-06-12T01:12:00Z,Paid
A3140,0964,59.36,9,2025-10-28T21:31:00Z,refund
A3158,0608,39.55,7,2025-07-30T00:19:00Z,Refunded
A2191,0530,51.55,6,2025-05-06T08:23:00Z,paid
A0199,0258,339.18,4,,refunded
A2025,0553,8.29,5,2025-08-08T11:52:00Z,Pending
A3073,0894,203.61,3,2025-03-22T02:39:00Z,PAID
